station,aos,los,duration,angle
Svalbard,06/07/2024 18:59:27,06/07/2024 18:59:49,21.756,-10
Svalbard,06/07/2024 18:59:56,06/07/2024 19:00:32,35.534,-20
Punta Arenas,06/07/2024 21:15:17,06/07/2024 21:17:23,125.943,10
Punta Arenas,06/07/2024 21:15:26,06/07/2024 21:17:32,125.522,20
Punta Arenas,06/07/2024 21:15:39,06/07/2024 21:17:03,84.021,0
Svalbard,06/08/2024 01:30:43,06/08/2024 01:31:20,37.739,-20
Svalbard,06/08/2024 03:08:55,06/08/2024 03:10:22,87.339,10
Fairbanks,06/08/2024 03:19:21,06/08/2024 03:20:24,62.535,20
Troll,06/08/2024 07:23:43,06/08/2024 07:25:52,128.646,10
Troll,06/08/2024 07:23:48,06/08/2024 07:25:45,116.723,0
Troll,06/08/2024 07:23:58,06/08/2024 07:25:49,111.253,20
Troll,06/08/2024 07:24:04,06/08/2024 07:25:29,84.88,-10
Troll,06/08/2024 09:01:22,06/08/2024 09:03:26,123.311,20
Punta Arenas,06/08/2024 10:47:38,06/08/2024 10:49:50,131.951,-20
Punta Arenas,06/08/2024 10:47:40,06/08/2024 10:49:50,129.359,-10
Troll,06/08/2024 13:52:33,06/08/2024 13:54:46,132.339,20
Fairbanks,06/08/2024 14:38:23,06/08/2024 14:38:48,25.03,10
Fairbanks,06/08/2024 14:38:41,06/08/2024 14:40:06,84.985,0
Troll,06/08/2024 15:30:19,06/08/2024 15:32:20,121.532,0
Troll,06/08/2024 15:30:29,06/08/2024 15:32:22,112.879,10
Troll,06/08/2024 15:30:30,06/08/2024 15:32:10,100.526,-10
Troll,06/08/2024 15:30:55,06/08/2024 15:31:46,50.226,-20
Svalbard,06/08/2024 16:28:20,06/08/2024 16:28:44,24.432,20
Svalbard,06/08/2024 18:06:46,06/08/2024 18:07:46,59.419,0
Punta Arenas,06/08/2024 22:02:18,06/08/2024 22:02:54,35.958,-20
Svalbard,06/09/2024 02:16:10,06/09/2024 02:17:27,77.374,-10
Svalbard,06/09/2024 03:54:13,06/09/2024 03:56:14,121.301,20
Fairbanks,06/09/2024 04:04:47,06/09/2024 04:05:57,70.166,0
Troll,06/09/2024 06:30:42,06/09/2024 06:33:06,144.352,-20
Troll,06/09/2024 06:30:50,06/09/2024 06:33:00,129.527,-10
Troll,06/09/2024 08:08:37,06/09/2024 08:11:11,154.354,20
Troll,06/09/2024 08:09:00,06/09/2024 08:10:47,106.736,10
Punta Arenas,06/09/2024 11:32:41,06/09/2024 11:35:11,150.713,20
Punta Arenas,06/09/2024 11:33:16,06/09/2024 11:34:33,77.331,10
Troll,06/09/2024 14:37:20,06/09/2024 14:39:55,154.447,20
Troll,06/09/2024 14:37:45,06/09/2024 14:39:32,107.542,10
Fairbanks,06/09/2024 15:24:09,06/09/2024 15:25:37,88.168,20
Troll,06/09/2024 16:15:26,06/09/2024 16:17:51,144.921,-20
Troll,06/09/2024 16:16:45,06/09/2024 16:17:42,56.887,-10
