station,aos,los,duration,angle
Troll,10/05/2023 07:29:07,10/05/2023 07:30:39,92.644,-20
Troll,10/05/2023 09:06:28,10/05/2023 09:08:51,143.249,20
Troll,10/05/2023 13:58:04,10/05/2023 13:59:48,104.019,20
Fairbanks,10/05/2023 14:44:16,10/05/2023 14:45:30,73.8,0
Fairbanks,10/05/2023 14:44:18,10/05/2023 14:45:30,72.154,10
Fairbanks,10/05/2023 14:44:19,10/05/2023 14:45:02,42.416,-20
Fairbanks,10/05/2023 14:44:20,10/05/2023 14:45:21,61.033,-10
Troll,10/05/2023 15:35:37,10/05/2023 15:37:04,87.451,0
Troll,10/05/2023 15:36:08,10/05/2023 15:36:49,40.925,-10
Svalbard,10/05/2023 18:11:03,10/05/2023 18:13:33,149.596,20
Svalbard,10/05/2023 18:11:30,10/05/2023 18:13:08,97.853,10
Svalbard,10/05/2023 19:49:38,10/05/2023 19:51:37,118.921,0
Svalbard,10/05/2023 19:49:41,10/05/2023 19:51:34,112.7,-10
Svalbard,10/05/2023 19:49:54,10/05/2023 19:51:22,87.931,-20
Svalbard,10/05/2023 21:27:21,10/05/2023 21:29:44,143.603,-20
Punta Arenas,10/05/2023 22:05:45,10/05/2023 22:06:45,59.721,-20
Svalbard,10/05/2023 23:05:00,10/05/2023 23:05:19,19.152,-20
Svalbard,10/05/2023 23:06:18,10/05/2023 23:07:28,70.859,-20
Svalbard,10/06/2023 00:43:03,10/06/2023 00:45:08,124.972,-20
Svalbard,10/06/2023 00:44:38,10/06/2023 00:44:59,20.667,-10
Svalbard,10/06/2023 02:21:13,10/06/2023 02:22:55,101.847,10
Svalbard,10/06/2023 02:21:15,10/06/2023 02:22:55,100.062,0
Svalbard,10/06/2023 02:21:16,10/06/2023 02:22:47,90.378,-10
Svalbard,10/06/2023 02:21:24,10/06/2023 02:22:26,61.851,-20
Svalbard,10/06/2023 03:59:30,10/06/2023 04:01:33,123.639,20
Svalbard,10/06/2023 03:59:46,10/06/2023 04:00:53,67.399,10
